acronym,administrative_territory_coverage,automatic_update,broadcast_mode,contact,contact_type,data_domain,description,environment,exposure_factor,exposure_factor_category,geographical_information_level,has_compliance,has_documentation,has_filter,has_missing_data,has_pricing,has_search_engine,is_geospatial_data,last_inserted,last_modification,last_updated,license_name,license_type,name,nature,organizations,other_access_points,projection_system,related_geographical_information,subthematic,temporal_scale,theme_category,update_frequency,url,year
,Région Île-de-France,False,Portail|API,informatique@airparif.fr,email,Environnement,Mesures aux stations pour le polluant NO2. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).,Air,Polluants de l'air,Polluants de l'air,Département|Commune|Station de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2021-01-15T00:04:00.000Z,ODbl,Attribution,mes idf horaire no2,,Airparif,DataGouv,,False,Pollution atmosphérique ambiante,H,Environnement,Quotidienne,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-no2?geometry=1.395%2C48.650%2C3.373%2C48.967,"['09/2017', 'en cours']"
,Région Île-de-France,False,Portail|API,informatique@airparif.fr,email,Environnement,"Mesures aux stations pour le polluant PM2,5. Les stations sont celles du minimum européen. Les données horaires des dernières 24h sont mises à jour quotidiennement à 14h (locale).",Air,Polluants de l'air,Polluants de l'air,Département|Commune|Station de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2021-01-15T00:04:00.000Z,ODbl,Attribution,mes idf horaire pm25,,Airparif,DataGouv,,False,Pollution atmosphérique ambiante,H,Environnement,Quotidienne,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-pm25/data?geometry=0.261%2C48.353%2C4.216%2C48.988,"['09/2017', 'en cours']"
,Région Île-de-France,False,Portail|API,informatique@airparif.fr,email,Environnement,Mesures aux stations par polluant et par granulométrie temporelle.,Air,Polluants de l'air,Polluants de l'air,Département|Commune|Station de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2021-01-15T00:04:00.000Z,ODbl,Attribution,mes idf horaire pm10,,Airparif,DataGouv,,False,Pollution atmosphérique ambiante,H,Environnement,Quotidienne,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-pm10?geometry=0.483%2C48.328%2C4.438%2C48.964,"['09/2017', 'en cours']"
,Région Île-de-France,False,Portail|API,informatique@airparif.fr,email,Environnement,Mesures aux stations par polluant et par granulométrie temporelle.,Air,Polluants de l'air,Polluants de l'air,Département|Commune|Station de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2021-01-15T00:04:00.000Z,ODbl,Attribution,mes idf horaire o3,,Airparif,DataGouv,,False,Pollution atmosphérique ambiante,H,Environnement,Quotidienne,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-o3?geometry=0.211%2C48.358%2C4.166%2C48.993,"['09/2017', 'en cours']"
,Région Île-de-France,False,Portail|API,informatique@airparif.fr,email,Environnement,Mesures aux stations par polluant et par granulométrie temporelle.,Air,Polluants de l'air,Polluants de l'air,Département|Commune|Station de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2021-01-15T00:04:00.000Z,ODbl,Attribution,mes idf horaire nox,,Airparif,DataGouv,,False,Pollution atmosphérique ambiante,H,Environnement,Quotidienne,https://data-airparif-asso.opendata.arcgis.com/datasets/mes-idf-horaire-nox?geometry=1.395%2C48.650%2C3.373%2C48.967,"['09/2017', 'en cours']"
HAM-HAP,Région Île-de-France,,,informatique@airparif.fr,email,Environnement,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,Air,Polluants de l'air,Polluants de l'air,Point de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2020-01-28T00:12:00.000Z,ODbl,Attribution,Données HAP HAM et métaux de 2016 à 2019,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Annuelle,https://data-airparif-asso.opendata.arcgis.com/datasets/donn%C3%A9es-hap-ham-et-m%C3%A9taux-de-2016-%C3%A0-2019,"['2016', '2019']"
HAM-HAP,Région Île-de-France,,,informatique@airparif.fr,email,Environnement,Moyennes annuelles des concentrations de HAM-HAP et métaux par station,Air,Polluants de l'air,Polluants de l'air,Point de mesure,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2020-01-15T00:09:00.000Z,ODbl,Attribution,Données HAM HAP METAUX de 2019 à 2020,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Annuelle,https://data-airparif-asso.opendata.arcgis.com/datasets/ham-hap-metaux-2019-2020,"['2019', '2020']"
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,Indice ATMO,Air,Polluants de l'air,Polluants de l'air,Zone,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2021-01-17T00:02:00.000Z,ODbl,Attribution,ind idf agglo,,Airparif,,,False,Pollution atmosphérique ambiante,D,Environnement,Quotidienne,https://data-airparif-asso.opendata.arcgis.com/datasets/ind-idf-agglo-1,"['03/01/2021', '16/02/2021']"
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,Emissions pour tous les secteurs d’activité confondus.,Air,Polluants de l'air,Polluants de l'air,EPCI|Adresse,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-19T00:08:00.000Z,ODbl,Attribution,emi idf epci 2015,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-epci-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,['2015']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,Emissions pour tous les secteurs d’activité confondus.,Air,Polluants de l'air,Polluants de l'air,Département,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-19T00:08:00.000Z,ODbl,Attribution,emi idf departement 2015,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-departement-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,['2015']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,Emissions pour tous les secteurs d’activité confondus.,Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-19T00:08:00.000Z,ODbl,Attribution,emi idf region 2015,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/emi-idf-region-2015-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,['2015']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-29T00:08:00.000Z,ODbl,Attribution,exp idf zag 2017 pm10 35j sup 50ug,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-pm10-35j-sup-50ug-1?geometry=0.346%2C48.509%2C4.301%2C49.142,['2017']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2",Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-29T00:08:00.000Z,ODbl,Attribution,exp idf idf 2017 no2 moyennne annuelle,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-no2-moyennne-annuelle-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,['2017']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-29T00:08:00.000Z,ODbl,Attribution,exp idf zag 2017 pm10 moyenne annuelle 40,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-pm10-moyenne-annuelle-40-1?geometry=0.346%2C48.509%2C4.301%2C49.142,['2017']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Île-de-France au critère ""40 µg/m³ en moyenne annuelle en PM10"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-29T00:08:00.000Z,ODbl,Attribution,exp idf idf 2017 pm10 moyenne annuelle 40,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-pm10-moyenne-annuelle-40-1?geometry=-1.452%2C48.044%2C6.458%2C49.314,['2017']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,"Exposition des populations et territoires au polluant PM10. Cette couche concerne l'exposition pour la totalité de la région Ile-de-France au critère ""35 jours supérieurs à 50µg/m3"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-29T00:08:00.000Z,ODbl,Attribution,exp idf idf 2017 pm10 35j sup 50ug,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-idf-2017-pm10-35j-sup-50ug?geometry=-1.452%2C48.044%2C6.458%2C49.314,['2017']
,Région Île-de-France,,Portail|API,informatique@airparif.fr,email,Environnement,"Exposition des populations et territoires au polluant NO2. Cette couche concerne l'exposition pour la zone d'agglomération (ZAG)  d'Île-de-France au critère ""40 µg/m³ en moyenne annuelle en NO2"" pour l'année 2017.Les valeurs suivantes sont exposées dans la couche : nbre_hab_expo : nombre d'habitants exposéssuperficie_expo : superficie exposée en km2longueur_voirie_expo : longueur de voirie exposée en km",Air,Polluants de l'air,Polluants de l'air,Région,False,False,True,False,False,True,True,2021-01-16T00:04:00.000Z,2021-01-16T00:04:00.000Z,2019-01-29T00:08:00.000Z,ODbl,Attribution,exp idf zag 2017 no2 moyennne annuelle,,Airparif,,,False,Pollution atmosphérique ambiante,Y,Environnement,Irrégulière,https://data-airparif-asso.opendata.arcgis.com/datasets/exp-idf-zag-2017-no2-moyennne-annuelle-1/data?geometry=0.346%2C48.509%2C4.301%2C49.142,['2017']
OBSINV,France et DROM,,,ANDRA,email,Environnement,"Description de la nature physique des déchets; Description des colis de déchets, volumes conditionnés (stocks et prévisions), activité des déchets (stocks et prévisions), toxiques chimiques",,Radioactivité,Radioactivité,Département|Commune|Code INSEE,False,True,True,False,False,True,True,2021-01-29T00:03:00.000Z,2021-01-29T00:03:00.000Z,2021-01-01T00:02:00.000Z,Licence Ouverte Etalab,Attribution,Inventaire et situation des déchets,Agents Physiques,ANDRA,DataGouv,,True,Déchets radioactifs,Non renseigné,Environnement,Annuelle,https://inventaire.andra.fr/les-donnees/linventaire-national-en-open-data,"['2013', '2019']"
Cartoradio,France métropolitaine et DROM,,,ANFR,email,Environnement,"Emplacement des stations radioélectriques et accès, pour un site donné, aux résultats des mesures de champs électromagnétiques synthétisés",,Ondes radioélectriques,Ondes radioélectriques,Point de mesure|Antenne,False,True,True,False,False,True,True,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,Non renseigné,Attribution,Cartes des antennes et des mesures radioélectriques,Agents Physiques,ANFR,,WGS84|GPS,False,Radiofréquence,M,Environnement,Régulière,https://www.cartoradio.fr/index.html#/cartographie/mesures,"['2003', 'en cours']"
EAT2,France métropolitaine,,,ANSES,email,Santé,"Teneur moyenne en divers contaminants chimiques dans les aliments ""tels que consommés"" (445 substances)",,Polluants de l'alimentation,Polluants de l'alimentation,Région,False,True,True,False,False,True,True,2021-01-22T00:04:00.000Z,2021-01-22T00:04:00.000Z,2014-01-06T00:06:00.000Z,Licence Ouverte Etalab,Attribution,Etude de l'Alimentation Totale 2 (EAT),Pesticides,ANSES,,,True,Contaminants chimiques dans l'alimentation,Non renseigné,Santé,Irrégulière,https://www.data.gouv.fr/fr/datasets/donnees-regionales-eat2-etude-de-l-alimentation-totale/,"['2007', '2009']"
RPG,France métropolitaine et DROM (hors Mayotte),,,ASP,email,Environnement,Le registre parcellaire graphique est une base de données géographiques servant de référence à l'instruction des aides de la politique agricole commune (PAC).,Sols,Pesticides|biocides|NDVI,Pesticides|biocides|NDVI,Parcelle|Coordonnées xy,True,True,True,False,False,True,True,,,2021-01-01T00:07:00.000Z,Licence Ouverte Etalab,Attribution,Registre Parcellaire Graphique,,ASP|IGN,Geoportail|Portail de l'ASP,RGF93|Lambert93|UTM,False,Milieux agricoles,None,"Agriculture, pêche, sylviculture et alimentation",Annuelle,https://www.data.gouv.fr/fr/datasets/registre-parcellaire-graphique-rpg-contours-des-parcelles-et-ilots-culturaux-et-leur-groupe-de-cultures-majoritaire/,"['2010', 'en cours']"
BASIAS,France métropolitaine et DROM (hors Mayotte),,,basias@brgm.fr,email,Environnement,"L’inventaire des anciennes activités industrielles et activités de service, est conduit systématiquement à l’échelle départementale depuis 1994. Les données recueillies dans le cadre de ces inventaires sont archivées dans une base de données nationale, BASIAS (Base des Anciens Sites Industriels et Activités de Service) disponible sur Internet.",Sols,Polluants du sol (composés organiques et métaux),Polluants du sol (composés organiques et métaux),Site|Adresse|Coordonnées xy,True,True,False,False,True,True,True,2021-01-11T00:02:00.000Z,2021-01-11T00:02:00.000Z,,Licence Ouverte Etalab,Attribution,BASIAS - Inventaire historique de Sites Industriels et Activités de Service,,BRGM,DataGouv|Georisque,WGS84|Lambert2 Etendu,False,Sites et sols pollués,None,Environnement,Irrégulière,https://www.georisques.gouv.fr/donnees/bases-de-donnees/inventaire-historique-de-sites-industriels-et-activites-de-service,"['1994', 'en cours']"
ICPE,France métropolitaine et DROM,,,BRGM,email,Environnement,"Ce jeu de données correspond aux Installations classées pour la protection de l'environnement (ICPE) soumises à autorisation ou à enregistrement (en construction, en fonctionnement ou en cessation d'activité). La fréquence de mise à jour de ce jeu de données est quotidienne.",Sols,"Polluants du sol, polluants de l'air","Polluants du sol, polluants de l'air",Site|Adresse|Coordonnées xy,False,True,True,False,False,True,True,2021-01-02T00:03:00.000Z,2021-01-02T00:03:00.000Z,2021-01-02T00:03:00.000Z,Licence Ouverte Etalab,Attribution,Installations industrielles,,BRGM,,RGF93|Lambert93|WGS84,True,Pollution|Contamination des sols,None,Environnement,Quotidienne,https://www.georisques.gouv.fr/donnees/bases-de-donnees/installations-industrielles,['']
,France métropolitaine,False,,,email,Environnement,Cartographie de la susceptibilité de présence d'amiante dans les formations susceptibles de renfermer des minéraux amiantifères (avec échantillons à des fins minéralogiques et analytiques). Inventaire complété par l'expertise du potentiel amiantifère d'une cinquantaine de carrières.,Sols,Amiante,Amiante,Coordonnées xy|1:50000,False,True,True,True,False,True,True,,"Données visualisable via cartographie ; Le MTES dispose actuellement de cartographies d’aléa amiante environnemental couvrant différents secteurs de France Métropolitaine : les départements de l’Isère, des Hautes-Alpes, de la Haute-Corse, de la Savoie et de la Loire-Atlantique, ceux couvrant le Massif Armoricain et les Pyrénées, et bientôt six zones couvrant le Massif Central. Durant deux ans (2019 et 2020), le BRGM se consacrera à la finalisation de la cartographie de l’amiante environnemental en France Métropolitaine (Vosges, Cévennes, Deux-Sèvres, Les Maures…).",,Non renseigné,,Cartographie départementale de l'aléa amiante environnemental,,BRGM,,Lambert93|WGS84,False,Amiante naturel en affleurements dans les formations géologiques,Variable,Environnement,Irrégulière,"https://www.brgm.fr/fr/reference-projet-acheve/cartographie-amiante-environnemental-france-metropolitaine-terrain-au#:~:text=La%20cartographie%20de%20l'amiante,amiante%20provenant%20d'affleurements%20naturels.","['2009', 'en cours']"
BdSolU,France métropolitaine,False,,bdsolu@brgm.fr,email,Environnement,"Principales analyses : arsenic, cuivre, chrome, plomb, zinc, nickel, cadmium, mercure, cyanures totaux, indice phénol, fractions carbonées des hydrocarbures C10 à C40, PCB indicateurs, 7 PCDD et 10 PCDF et métadonnées",Sols,Polluants du sol (composés organiques et métaux),Polluants du sol (composés organiques et métaux),Site|Commune,True,True,True,False,False,True,True,2021-01-08T00:03:00.000Z,2021-01-08T00:03:00.000Z,2019-01-01T00:02:00.000Z,Non renseigné,,Base de données sur la qualité des sols urbains,,BRGM,,,True,Qualité des sols urbains,None,Environnement,Irrégulière,http://www.bdsolu.fr/page/consultation,"['2010', 'en cours']"
,France metropolitaine et DROM,False,,sandre@sandre.eaufrance.fr,email,Environnement,"Chaque point d'eau est doté d'un code national. Il s'agit du code du dossier du point d'eau au sein de la Banque du Sous-Sol (BSS). Il est constitué de la concaténation de l'indice BSS (10 caractères) et de la désignation BSS (6 caractères) séparé par un caractère ""/"". Chaque point d'eau est localisé par ses coordonnées géographiques dans le cadre d'un système de projection et rattaché à la commune sur le territoire de laquelle, il est situé. L'affectation de la commune, altitude , les coordonées géographiques au point d'eau est sous la responsabilité des services géologiques régionaux du BRGM dans le cadre de sa mision de gestion de la BSS. Les informations sur les points d'eau relèvent de la responsabilité des gestionnaires des différentes fonctions du point d'eau.",Eau,Polluants de l'eau,Polluants de l'eau,Coordonnées xy,True,False,True,False,False,True,True,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,2020-01-01T00:12:00.000Z,Licence Ouverte Etalab,Attribution,Point d'eau ADES,,BRGM,Infoterre|Sandre,,False,Qualité de l'eau,None,Environnement,Irrégulière,https://www.data.gouv.fr/fr/datasets/point-deau-pte/,['']
BSS,France et DROM,False,,bss@brgm.fr,email,Environnement,"La BSS recense les fiches signalétiques de l'ensemble des ouvrages de la BSS (plus de 700.000 ouvrages décrits, associés à plus de 2.000.000 de pages de documents techniques). La Banque de données du Sous-Sol (BSS) contient des informations brutes géologiques et techniques relatives à des ouvrages souterrains : localisation, objet, description géologique, équipement technique des forages. Les informations mises à la disposition du public dans les documents de la Banque du Sous-Sol (BSS), sont communiquées par des tiers dans le cadre des dispositions prévues par le Code Minier (art. 131 à 136).",Sols|Eau,Polluants du sol,Polluants du sol,Coordonnées xy,False,True,True,False,False,True,True,2021-01-02T00:04:00.000Z,2021-01-02T00:04:00.000Z,,Licence Ouverte Etalab,Attribution,Banque du sous-sol,,BRGM,Infoterre,,False,Géologie,None,Environnement,Irrégulière,http://www.geocatalogue.fr/Detail.do?id=4163,['en cours']
